id;name;full_name;owner_key;owner_group;meters;last_week;before_last_week;amr;last_year;contact_email;electricity_price;gas_price;gas_stage;electricity_stage;water_stage;heat_stage;solar_heat;solar_power_stage;wind_stage;cogen_power_stage
1;relationships;fuchsia;Liaison Point;report override;24712;9355;26293;25466;30791;West gray Convertible;26489;13207;TRIAL;DEMO;TERMINATED;TRIAL;DEMO;PRODUCTION;PROSPECT;TRIAL
2;Futuna Cheese;silver;male;Producer protocol Road;2269;31603;9165;28614;18162;East regal blah;1531;29545;TRIAL;TRIAL;DEMO;PROSPECT;METERS_LISTED;PROSPECT;PROSPECT;PROSPECT
3;synergy mesh Generic;instantly lime;overriding Reggae;Hahn Shoes;31007;26555;28007;18201;14019;Turkmenistan Antimony officially;12359;22794;TERMINATED;DEMO;METERS_LISTED;TERMINATED;METERS_LISTED;DEMO;PROSPECT;PRODUCTION
4;Electric Steel Congolese;Integration;Assurance female Granite;Rap Account;7442;10863;28948;28600;28661;more;30499;9169;TRIAL;TRIAL;TRIAL;METERS_LISTED;PROSPECT;METERS_LISTED;TRIAL;METERS_LISTED
5;Buckinghamshire;Illinois;solid male cyan;Fundamental Director Rubber;13988;15838;9528;14766;12148;Mini FTM;29286;24898;PROSPECT;METERS_LISTED;PROSPECT;DEMO;PROSPECT;PRODUCTION;TRIAL;PROSPECT
6;grey Hybrid;tan Lempira Illinois;Northeast Avon Account;Home;5932;5922;5182;19305;15577;Future;18461;2269;TRIAL;TRIAL;PRODUCTION;TERMINATED;PRODUCTION;PROSPECT;TERMINATED;METERS_LISTED
7;silver;West nostrum cultivate;Research West Southwest;Avon;15841;10638;3114;27550;13502;hm Developer Northwest;11528;13390;TERMINATED;PROSPECT;TERMINATED;DEMO;PRODUCTION;PRODUCTION;TRIAL;TRIAL
8;throughout Books Southeast;Southeast careful Lead;tan hacking;Potassium;6295;24480;21705;31689;3150;Synchronised;23590;6243;PROSPECT;TRIAL;PROSPECT;TERMINATED;PRODUCTION;TRIAL;PRODUCTION;METERS_LISTED
9;female;second Diverse;streamline radical Health;quantify Beauty;13484;5011;8642;18527;1909;communities bluetooth;5552;5869;DEMO;PRODUCTION;METERS_LISTED;PRODUCTION;TRIAL;TRIAL;TRIAL;TERMINATED
10;SUV;North alongside;navigate;Metal empower Investor;26611;24252;18989;30796;32352;Promethium withdrawal;1729;16065;METERS_LISTED;DEMO;PRODUCTION;METERS_LISTED;TERMINATED;PROSPECT;DEMO;PROSPECT
